Watchlist 'testOvernight'

testOvernight
Symbol,Market Cap,OV_DECISION,Volume,Last
INUV,17 M,7461.0,"230,996",1.0200
INTZ,17 M,6163.0,"195,045",.7581
INTS,12 M,471.0,"14,575",4.29
INTJ,5 M,750.0,"8,980",3.23
INM,7.5 M,3552.0,"130,835",1.41
INLX,24 M,0.0,83,5.38
INLF,5.9 M,315984.0,"1,040,868",5.60
INHD,30 M,858101.0,"2,166,135",6.63
INEOF,3.8 M,0.0,"116,000",.0726
INEO,10 M,0.0,"8,711",.6178
INBS,4.7 M,2972.0,"40,449",1.96
INAB,9.6 M,159.0,"67,434",.9759
IMRN,8.9 M,0.0,"23,326",1.10
IMNN,6.8 M,3891.0,"39,335",1.63
ILLR,20 M,22268.0,60,1.135
ILAG,7 M,0.0,490,3.38
IHT,15 M,1.0,"18,430",1.575
IGCRF,36 M,0.0,500,.4570
IGC,28 M,1893.0,"618,788",.2675
IFBD,8.6 M,0.0,"3,693",1.05
IDAI,18 M,0.0,"34,945",3.16
ICU,15 M,3763.0,"205,186",3.69
ICON,3.7 M,990.0,"15,238",1.0200
ICMB,12 M,1950.0,"51,092",.8260
ICCM,11 M,472.0,"40,221",3.28
I,<empty>,loading,<empty>,0
HYPD,40 M,0.0,"84,649",2.61
HYFM,9.3 M,14551.0,"702,975",1.950000
HXHX,6.6 M,700.0,"6,991",.4807
HWH,11 M,857.0,"5,817,528",1.44
HUIZ,14 M,152435.0,"632,403",1.42
HUDI,13 M,2.0960702E7,"39,061,702",.925000
HUBC,28 M,17568.0,"287,593",.8493
HTOO,17 M,2868.0,"8,359",2.46
HTCR,4.1 M,401.0,"56,991",2.85
HTCO,28 M,205.0,"28,661",3.13
HSCS,8.1 M,1200.0,"122,425",2.07
HPAI,18 M,1902.0,"93,919",.4900
HOWL,19 M,4318.0,"157,712",.3820
HOLO,38 M,10535.0,"160,886",1.64
HODO,37 M,324.0,"262,094",.4937
HKPD,9.9 M,1074.0,"7,624",.4195
HKIT,29 M,693631.0,"1,107,632",3.27
HIND,16 M,0.0,"6,264",2.21
HIHO,5 M,229884.0,"415,592",1.09
HHS,19 M,0.0,"11,845",2.50
HGBL,37 M,0.0,"196,516",1.06
HERZ,32 M,0.0,"148,527",16.12
HCWC,6.8 M,1633304.0,"6,673,741",.2561
HCWB,5.2 M,356.0,"39,278",3.27
HCAI,5.1 M,1333.0,"13,769",4.35
HBIO,29 M,0.0,"38,814",6.39
GYRO,12 M,0.0,"1,325",5.355
GXAI,9.1 M,301.0,"120,080",.8472
GWH,17 M,18544.0,"1,171,962",.5818
GWAV,3.7 M,0.0,"13,978",4.46
GURE,4.7 M,29650.0,"65,149",3.06
GTIM,16 M,279.0,"130,597",1.47
GTEC,14 M,0.0,"70,812",.5395
GTCDF,39 M,0.0,"17,200",.53442
GTBP,12 M,518.0,"411,419",.3206
GSUN,5.1 M,5468.0,"226,413",.5070
GSIW,19 M,0.0,"1,716",13.60
GROW,38 M,100.0,"6,658",3.10
GRNQ,20 M,0.0,"1,154",10.92
GRML,30 M,132451.0,"1,897,021",.2000
GRLMF,22 M,0.0,"55,665",.2230
GRI,3 M,2180.0,"286,226",1.70
GRDX,21 M,0.0,"40,675",3.01
GRAN,35 M,0.0,"3,002",1.39
GP,11 M,883.0,"189,272",1.49
GOVX,3.9 M,6041.0,"130,720",.7540
GNS,31 M,108842.0,"1,293,580",.1596
GMM,5.7 M,9308.0,"54,591",2.94
GLXG,6.7 M,56991.0,"286,575",1.13
GLMD,4.9 M,1355.0,"14,647",.5931
GLE,7.1 M,68524.0,"373,866",.3872
GITS,10 M,1504.0,"588,212",2.7100
GIGM,16 M,0.0,"18,618",1.4799
GIFT,31 M,0.0,"45,857",.8869
GGRP,21 M,100.0,"99,283",.9490
GFAI,11 M,3588.0,"86,480",.3466
GENK,9.8 M,0.0,"7,138,248",1.82
GELS,6.3 M,300.0,"33,847",.5846
GDTC,9.5 M,486.0,"50,497",.8001
GDC,7 M,9278.0,"153,956",1.68
GCTK,3.1 M,98772.0,"621,733",.4029
GCDT,5.9 M,24501.0,"72,636",.4612
GBR,3.6 M,2607.0,"24,879",.6956
GAUZ,7.5 M,299457.0,"2,161,291",.3999
GAME,40 M,33830.0,"9,163,323",.3873
FUSE,24 M,14321.0,"469,311",.8283
FTRK,7.3 M,1533.0,"246,804",.336100
FTHM,24 M,0.0,"99,291",.7240
FRTT,11 M,560.0,"18,750",.9770
FRSX,4.1 M,3435.0,"76,304",1.36
FOXX,18 M,0.0,"7,949",2.50
FOFO,20 M,744.0,"17,562",2.59
FNGR,18 M,65910.0,"1,199,438",.290000
FNCJF,25 M,0.0,"10,000",.1027
FMST,22 M,200.0,"63,811",1.36
FMFC,5 M,39664.0,"8,101,230",.2712
FLUX,11 M,1349.0,"423,453",.5240
FLD,23 M,8199.0,"118,768",.4513
FKWL,28 M,24497.0,"79,657",2.365
FIEE,31 M,4383.0,"133,535",3.64
FGI,8.9 M,0.0,"12,942",4.63
FFAI,11 M,8642.0,"560,327",4.37
FENG,18 M,100.0,"5,932",1.54
FEMY,7.2 M,4048.0,"400,403",2.37
FEED,3.8 M,12013.0,"136,564",.4140
FEDU,17 M,0.0,879,7.50
FEBO,8.8 M,0.0,545,.7999
FCUV,4.5 M,9362.0,"331,406",6.44
FBLG,6.5 M,3462.0,"118,116",.9800
FBGL,5.8 M,711.0,"82,442",.4276
FAMI,5.9 M,150461.0,"501,931",.1581
FABC,17 M,9325.0,"123,354",2.63
EXYN,17 M,629.0,"631,729",2.1700
EVAX,25 M,5729.0,"35,052",3.05
EUUNF,11 M,0.0,"7,000",.1213
EURK,26 M,0.0,8,11.98
ESLA,31 M,0.0,"25,309",.7220
ERNA,5.3 M,955.0,"69,784",4.53
EQS,16 M,0.0,"6,797",1.15
EPSM,21 M,1069.0,"23,879",1.53
EPOW,21 M,179038.0,"1,524,166",.5501
EONR,25 M,16080.0,"344,105",.4962
ENVB,6.2 M,1020.0,"25,339",1.54
ENSC,6.6 M,1208023.0,"5,197,959",.430500
ENLV,34 M,4260.0,"190,278",2.01
ELUT,36 M,0.0,"30,841",.8140
ELOG,10 M,800.0,"5,902",.8100
ELAB,4.2 M,28528.0,"195,885",.9200
EJH,4.5 M,0.0,"23,699",1.42
EHLD,24 M,0.0,"4,967",8.42
EHGO,6.1 M,33813.0,"115,222",1.90
EFOI,20 M,0.0,"14,344",3.0878
EEIQ,4.1 M,100.0,"3,399",2.48
EDUC,12 M,0.0,"51,594",1.39
EDTK,14 M,0.0,"17,914",.9000
EDHL,6.5 M,584.0,"23,856",3.91
EBON,13 M,20033.0,"34,282",2.07
DYAI,36 M,10.0,"125,284",.9952
DXST,5.8 M,3155.0,"41,671",2.61
DXLG,31 M,1312.0,"29,186",.5647
DUO,25 M,1266.0,"10,048",.6369
DTST,7.5 M,0.0,"14,454",3.20
DSY,23 M,65607.0,"367,710",4.82
DSS,5.1 M,400.0,"36,660",.5100
DRMA,4.5 M,1085.0,"26,525",1.12
DOGZ,13 M,0.0,"14,611",.9300
DLXY,6.1 M,595.0,"45,586",.37255
DLPN,14 M,0.0,"11,132",1.08
DKI,9.1 M,5895844.0,"12,006,416",4.35
DFSC,3.2 M,775.0,"27,339",1.21
DFS,"50,343 M",NaN,<empty>,200.05
DFNS,37 M,21082.0,"489,552",37.10
DFLI,19 M,892.0,"318,007",1.31
DDC,26 M,28524.0,"718,917",.5460
DBGI,9.8 M,3447.0,"118,288",17.05
DARE,20 M,100.0,"47,365",1.36
DAIO,30 M,0.0,"50,325",2.89
CYN,18 M,5724.0,"142,690",1.24
CYMHF,8 M,0.0,"4,000",.0800
CYCU,7.4 M,375063.0,"6,154,628",.6490
CYCN,17 M,200.0,"8,346",3.58
CYAB,5.2 M,26047.0,"282,084",.3415
CXAI,18 M,1552727.0,"6,640,401",.1625
CWD,4.5 M,11608.0,"125,775",.5057
CVR,10 M,0.0,"1,620",10.30
CVM,26 M,524.0,"325,834",1.49
CVKD,6.9 M,1225.0,"19,978",1.94
CURX,5.5 M,2346.0,"67,286",.1934
CUPR,8.2 M,328.0,"21,823",3.04
CTXR,19 M,18548.0,"314,780",.6770
CTSO,23 M,1078.0,"74,586",.3620
CTRM,20 M,3200.0,"30,757",2.09
CTNT,6 M,30310.0,"212,674",1.90
CRWS,32 M,0.0,"72,685",2.97
CRVO,39 M,14576.0,"384,198",2.86
CRMT,26 M,724.0,"139,515",3.13
CRIS,7.1 M,1.0,"72,953",3.66
CREX,39 M,0.0,"22,780",2.99
CRE,5.8 M,100.0,"30,924",2.87
CPOP,4.8 M,1786384.0,"4,102,712",.3870
CPIFF,6.7 M,0.0,"19,404",.0750
COSM,14 M,146516.0,"3,862,758",.2235
COPR,38 M,632.0,"29,260",2.73
COOT,13 M,0.0,"53,103",.4338
COHN,38 M,0.0,"20,437",11.66
CODX,5.5 M,2146.0,"185,796",1.50
COCP,15 M,66549.0,"232,093",1.0800
CNTY,34 M,282.0,"50,523",1.20
CNSY,26 M,1691.0,"46,937",3.84
CNSP,7.5 M,0.0,"1,370",5.13
CNF,39 M,0.0,"8,265",2.29
CNEY,5.2 M,300.0,"126,939",.6365
CNET,4.8 M,695.0,"33,912",1.32
CMMB,14 M,0.0,"33,422",1.89
CMCT,13 M,0.0,"25,430",4.51
CLWT,12 M,944.0,"14,587",1.57
CLRB,21 M,0.0,"31,899",2.60
CLPS,26 M,0.0,"9,531",.8760
CLIR,27 M,0.0,"15,469",3.905
