Watchlist 'testOvernight'

testOvernight
Symbol,myRange,Market Cap,OV_DECISION,Volume,OV_FINAL,Last
GRLMF,26.5604,22 M,0.0,"55,665",0.0,.2230
GRML,11.4439,30 M,132451.0,"1,897,021",162196.0,.2000
GRNQ,0.0,20 M,0.0,"1,154",0.0,10.92
GROW,1.95,38 M,100.0,"6,658",100.0,3.10
GSIW,19.26,19 M,0.0,"1,716",0.0,13.60
GSUN,15.2174,5.1 M,5468.0,"226,413",5468.0,.5070
GTBP,6.8277,12 M,518.0,"411,419",518.0,.3206
GTCDF,1.8913,39 M,0.0,"17,200",0.0,.53442
GTEC,1.7925,14 M,0.0,"70,812",0.0,.5395
GTIM,7.53,16 M,279.0,"130,597",279.0,1.47
GURE,9.44,4.7 M,29650.0,"65,149",29750.0,3.06
GWAV,12.01,3.7 M,0.0,"13,978",0.0,4.46
GWH,15.4801,17 M,18544.0,"1,171,962",18544.0,.5818
GXAI,5.9286,9.1 M,301.0,"120,080",301.0,.8472
GYRO,0.0,12 M,0.0,"1,325",0.0,5.355
HBIO,7.66,29 M,0.0,"38,814",0.0,6.39
HCAI,3.45,5.1 M,1333.0,"13,769",1333.0,4.35
HCWB,13.27,5.2 M,356.0,"39,278",356.0,3.27
HCWC,8.6262,6.8 M,1633304.0,"6,673,741",1654621.0,.2561
HERZ,4.91,32 M,0.0,"148,527",0.0,16.12
HGBL,4.31,37 M,0.0,"196,516",0.0,1.06
HHS,21.02,19 M,0.0,"11,845",200.0,2.50
HIHO,9.96,5 M,229884.0,"415,592",240153.0,1.09
HIND,4.21,16 M,0.0,"6,264",0.0,2.21
HKIT,17.87,29 M,693631.0,"1,107,632",699918.0,3.27
HKPD,12.3053,9.9 M,1074.0,"7,624",1074.0,.4195
HODO,13.0,37 M,324.0,"262,094",324.0,.4937
HOLO,4.46,38 M,10535.0,"160,886",10803.0,1.64
HOWL,7.9974,19 M,4318.0,"157,712",4318.0,.3820
HPAI,10.6383,18 M,1902.0,"93,919",1902.0,.4900
HSCS,12.44,8.1 M,1200.0,"122,425",1200.0,2.07
HTCO,5.84,28 M,205.0,"28,661",818.0,3.13
HTCR,5.88,4.1 M,401.0,"56,991",401.0,2.85
HTOO,1.65,17 M,2868.0,"8,359",2868.0,2.46
HUBC,8.85,28 M,17568.0,"287,593",17568.0,.8493
HUDI,36.5854,13 M,2.0960702E7,"39,061,702",2.1215054E7,.925000
HUIZ,19.67,14 M,152435.0,"632,403",153083.0,1.42
HWH,3.52,11 M,857.0,"5,817,528",857.0,1.44
HXHX,11.4537,6.6 M,700.0,"6,991",700.0,.4807
HYFM,27.27,9.3 M,14551.0,"702,975",14726.0,1.950000
HYPD,3.46,40 M,0.0,"84,649",0.0,2.61
I,loading,<empty>,NaN,<empty>,loading,0
ICCM,19.66,11 M,472.0,"40,221",472.0,3.28
ICMB,5.9322,12 M,1950.0,"51,092",1950.0,.8260
ICON,4.0,3.7 M,990.0,"15,238",990.0,1.0200
ICU,15.61,15 M,3763.0,"205,186",3763.0,3.69
IDAI,6.33,18 M,0.0,"34,945",0.0,3.16
